"Cursus","","Discipline","","Type de discipline","","Sous-type","","UE","","Année par défaut dans le cursus"
"Danse classique homme - DNSPD - 1er Cycle","","00158 - Analyse musicale A","","","","","","00009763-UE2 - Recherche et culture","",""
"Danse contemporaine - Année préparatoire supérieure - Cycle Préparatoire","","00160 - Pratique monodique de  l'harmonie","","","","","","00009763-UE3 - Professionnalisation","",""
"Danse contemporaine - DNSPD - 1er Cycle","","00161 - Trompette naturelle (initiation)","","","","","","00009764-UE1 - Pratique artistique","",""
"Danseur interprète : répertoire et création - 2ème Cycle","","00162 - Pédagogie Jazz","","","","","","00009764-UE2 - Recherche et culture","",""
"Diplôme d'artiste interprète - 3ème Cycle","","00163 - Histoire de la musique A","","","","","","00009764-UE3 - Professionnalisation","",""
"Diplôme de Composition de Musique à l'Image (DCMI) - Cycle Supérieur","","00165 - Histoire de la musique - étude de l'interprétation","","","","","","00012363-UE1 - Pratique artistique","",""
"Direction d'orchestre - 1er Cycle","","00166 - Histoire de la musique B","","","","","","00012363-UE2 - Recherche et culture","",""
"Direction d'orchestre - 2ème Cycle","","00168 - Approche critique de l’interprétation","","","","","","00012363-UE3 - Professionnalisation","",""
"Direction de chant - 2ème Cycle","","00173 - Approche répertoire classique et romantique du violon sur instrument historique","","","","","","00013163-UE1 - Pratique artistique","",""
"Doctorat de Musique - Recherche et Pratique - 3ème Cycle","","00176 - Culture musicale pour les compositeurs","","","","","","00013163-UE2 - Recherche et culture","",""
"ECMAster - 2ème Cycle","","00177 - Composition de musique à l'image","","","","","","00013163-UE3 - Professionnalisation","",""
"Flûte - 1er Cycle","","00179 - Piano complémentaire (chefs d'orchestre)","","","","","","00018464-UE1 S1-2 - Entrainement régulier du danseur","",""
"Flûte - 2ème Cycle","","00180 - Stage","","","","","","00018464-UE1 S3-4 - Projets artistiques","",""
"Flûte piccolo - 2ème Cycle","","00188 - Répertoire contemporain","","","","","","00018464-UE2 S1-2 - Projets artistiques","",""
"Flûte traversière baroque - 1er Cycle","","00189 - Didactique de la musique d'ensembles - 1","","","","","","00018464-UE2 S3-4 - Réalisation d'un mémoire de recherche en lien avec des enjeux chorégraphiques","",""
"Flûte traversière baroque - 2ème Cycle","","00190 - Invention instrumentale","","","","","","00018464-UE3 S1-2 - Initiation à la Médiation culturelle","",""
"Formation au CA  - Alto - 2ème Cycle","","00191 - Pédagogie du rythme","","","","","","00018464-UE3 S3-4 - Projet de médiation","",""
"Formation au CA - Accordéon - 2ème Cycle","","00192 - Pédagogie du rythme approfondissement","","","","","","00018464-UE4 - Enseignements pratiques","",""
"Formation au CA - Basson - 2ème Cycle","","00193 - Formation à la rédaction","","","","","","00018464-UE4 S1-2 - Approches méthodologiques de la recherche théorique et pratique","",""
"Formation au CA - Chant - 2ème Cycle","","00194 - Ouverture au jazz","","","","","","00018464-UE4 S3-4 - Projet personnel","",""
"Formation au CA - Clarinette - 2ème Cycle","","00195 - Diction lyrique française accompagnateurs·rices","","","","","","00018464-UE5 S1-2 - Administration / droit du travail","",""
"Formation au CA - Clavecin - 2ème Cycle","","00197 - Basse continue claviers","","","","","","00018464-UE5 S3-4 - Stages d'insertion professionnelle","",""
"Formation au CA - Contrebasse - 2ème Cycle","","00198 - Harmonie appliquée à l'interprétation","","","","","","164ECMASTER-UE1 - Pratique artistique","",""
"Formation au CA - Cor - 2ème Cycle","","00202 - Méthodologie de recherche - Cursus DE","","","","","","164ECMASTER-UE2 - Recherche et culture","",""
"Formation au CA - Flûte - 2ème Cycle","","00205 - Stage en conservatoire - Cursus DE","","","","","","164ECMASTER-UE3 - Professionnalisation","",""
"Formation au CA - Formation musicale - 2ème Cycle","","00206 - Maquettage","","","","","","ACC02064-UE1 - Pratique artistique","",""
"Formation au CA - Guitare - 2ème Cycle","","00207 - Ergonomie de projet","","","","","","ACC02064-UE2 - Recherche et culture","",""
"Formation au CA - Harpe - 2ème Cycle","","00208 - Histoire du cinéma et de ses musiques","","","","","","ACC02064-UE3 - Professionnalisation","",""
"Formation au CA - Hautbois - 2ème Cycle","","00210 - Métiers de la culture musicale","","","","","","ACC03064-UE1 - Pratique artistique","",""
"Formation au CA - Jazz - 2ème Cycle","","00211 - Didactique de l'alto - Sortie","","","","","","ACC03064-UE2 - Recherche et culture","",""
"Formation au CA - Orgue - 2ème Cycle","","00212 - Didactique du piano - Sortie","","","","","","ACC03064-UE3 - Professionnalisation","",""
"Formation au CA - Percussions - 2ème Cycle","","00213 - Didactique du saxophone - Sortie","","","","","","ACC05063-UE1 - Pratique artistique","",""
"Formation au CA - Piano - 2ème Cycle","","00214 - Didactique du tuba - Sortie","","","","","","ACC05063-UE2 - Recherche et culture","",""
"Formation au CA - Saxophone - 2ème Cycle","","00215 - Didactique de la trompette - Sortie","","","","","","ACC05063-UE3 - Professionnalisation","",""
"Formation au CA - Trombone - 2ème Cycle","","00216 - Didactique du cor - Sortie","","","","","","ACC05064-UE1 - Pratique artistique","",""
"Formation au CA - Trompette - 2ème Cycle","","00217 - Didactique du trombone - Sortie","","","","","","ACC05064-UE2 - Recherche et culture","",""
"Formation au CA - Tuba - 2ème Cycle","","00218 - Didactique de la flûte - Sortie","","","","","","ACC05064-UE3 - Professionnalisation","",""
"Formation au CA - Viole de gambe - 2ème Cycle","","00219 - Didactique de l'orgue - Sortie","","","","","","ALT01063-UE1 - Pratique artistique","",""
"Formation au CA - Violon - 2ème Cycle","","00220 - Didactique du violon - Sortie","","","","","","ALT01063-UE2 - Recherche et culture","",""
"Formation au CA - Violoncelle - 2ème Cycle","","00221 - Didactique des percussions - Sortie","","","","","","ALT01063-UE3 - Professionnalisation","",""
"Formation au CA - Violoncelle baroque - 2ème Cycle","","00222 - Didactique du chant - Sortie","","","","","","ALT01064-UE1 - Pratique artistique","",""
"Formation diplômante au CA - Directeur - 2ème Cycle","","00223 - Didactique de la clarinette - Sortie","","","","","","ALT01064-UE2 - Recherche et culture","",""
"FSMSI Mention SON - 1e cycle - 1er Cycle","","00224 - Didactique de la guitare - Sortie","","","","","","ALT01064-UE3 - Professionnalisation","",""
"FSMSI Mention SON - 2e cycle - Cycle Supérieur","","00225 - Didactique du hautbois - Sortie","","","","","","AltoBaroque201-UE1 - Pratique artistique","",""
"Guitare - 1er Cycle","","00226 - Didactique de la harpe - Sortie","","","","","","AltoBaroque201-UE2 - Recherche et culture","",""
"Guitare - 2ème Cycle","","00227 - Didactique du clavecin - Sortie","","","","","","AltoBaroque201-UE3 - Professionnalisation","",""
"Harpe - 1er Cycle","","00228 - Didactique du basson - Sortie","","","","","","BAS01063-UE1 - Pratique artistique","",""
"Harpe - 2ème Cycle","","00229 - Didactique du violoncelle - Sortie","","","","","","BAS01063-UE2 - Recherche et culture","",""
"Hautbois / Cor anglais - 1er Cycle","","00230 - Didactique de la contrebasse - Sortie","","","","","","BAS01063-UE3 - Professionnalisation","",""
"Hautbois / Cor anglais - 2ème Cycle","","00231 - Didactique de l'accordéon - Sortie","","","","","","BAS01064-UE1 - Pratique artistique","",""
"Hautbois baroque - 1er Cycle","","00232 - Didactique de la viole de gambe - Sortie","","","","","","BAS01064-UE2 - Recherche et culture","",""
"Hautbois baroque - 2ème Cycle","","00234 - Didactique du jazz - Sortie","","","","","","BAS01064-UE3 - Professionnalisation","",""
"Improvisation au piano - 1er Cycle","","00236 - Didactique de la musique d'ensembles - 2","","","","","","CHA01063-UE1 - Pratique artistique","",""
"Improvisation au piano - 2ème Cycle","","00237 - Didactique de la musique d'ensembles - 3","","","","","","CHA01063-UE2 - Recherche et culture","",""
"Improvisation générative - 1er Cycle","","00238 - Didactique de la musique d'ensemble - Sortie","","","","","","CHA01063-UE3 - Professionnalisation","",""
"Improvisation à l'orgue - 1er Cycle","","00242 - Parcours Pro B - Carrières et métiers (ex-APM3)","","","","","","CHA01064-UE1 - Pratique artistique","",""
"Improvisation à l'orgue - 2ème Cycle","","00242CA - Cadres d’emploi du musicien et du danseur","","","","","","CHA01064-UE2 - Recherche et culture","",""
"Jazz et musiques improvisées - 1er cycle - 1er Cycle","","00243 - Répertoires contemporains","","","","","","CHA01064-UE3 - Professionnalisation","",""
"Jazz et musiques improvisées - 2ème cycle - 2ème Cycle","","00244 - Atelier analyse et interprétation","","","","","","CLA01063-UE1 - Pratique artistique","",""
"Luths, Théorbe et Basse continue - 1er Cycle","","00245 - Sciences de l'éducation musicale (Volet 1 ""Théories et modèles"")","","","","","","CLA01063-UE2 - Recherche et culture","",""
"Luths, Théorbe et Basse continue - 2ème Cycle","","00245b - Sciences de l'éducation musicale (Volet 2 ""Contextes et pratiques"")","","","","","","CLA01063-UE3 - Professionnalisation","",""
"Musicologie cycle préparatoire - Cycle Préparatoire","","00246 - Culture chorégraphique et artistique","","","","","","CLA01064-UE1 - Pratique artistique","",""
"Musicologie cycle supérieur - Cycle Supérieur","","00250 - Direction d'ensembles vocaux","","","","","","CLA01064-UE2 - Recherche et culture","",""
"Musique de chambre - 1er Cycle","","00254 - Nouvelles technologies appliquées à la composition (NTAC)","","","","","","CLA01064-UE3 - Professionnalisation","",""
"Musique de chambre - 2ème Cycle","","00257 - Culture et esthétique musicale","","","","","","CLA03063-UE1 - Pratique artistique","",""
"Musique de chambre-2e discipline principale (musique ancienne) - 1er Cycle","","00258 - Basse continue (Pianoforte)","","","","","","CLA03063-UE2 - Recherche et culture","",""
"Notation du mouvement Benesh - 1er Cycle","","00259 - Écoute et esthétique musicale","","","","","","CLA03063-UE3 - Professionnalisation","",""
"Notation du mouvement Benesh - 2ème Cycle","","00260 - Mathématiques, traitement du signal et synthèse sonore","","","","","","CLA03064-UE1 - Pratique artistique","",""
"Notation du mouvement Laban - 1er Cycle","","00262 - Acoustique et sonorisation Partie 1","","","","","","CLA03064-UE2 - Recherche et culture","",""
"Notation du mouvement Laban - 2ème Cycle","","00263 - Acoustique et sonorisation Partie 2","","","","","","CLA03064-UE3 - Professionnalisation","",""
"Ondes Martenot - 1er Cycle","","00264 - Technologie audio","","","","","","COM01063-UE1 - Pratique artistique","",""
"Ondes Martenot - 2ème Cycle","","00283 - Parcours Pro B - Médiation (ex-APM4)","","","","","","COM01063-UE2 - Recherche et culture","",""
"Orchestration - Hors Cycle","","00284 - Méthodologie et théories de la musicologie","","","","","","COM01063-UE3 - Professionnalisation","",""
"Orgue-interprétation - 1er Cycle","","00288 - APM-SON : Entreprendre dans les métiers de l'audiovisuel","","","","","","COM01064-UE1 - Pratique artistique","",""
"Orgue-interprétation - 2ème Cycle","","00289 - APM-SON : Sécurité normes gestion des risques dans le spectacle vivant","","","","","","COM01064-UE2 - Recherche et culture","",""
"Percussion - 1er Cycle","","00291 - Communication et gestion de projet","","","","","","COM01064-UE3 - Professionnalisation","",""
"Percussion - 2ème Cycle","","00292 - APM-SON : Droits, réglementation : création, production, édition","","","","","","CON01063-UE1 - Pratique artistique","",""
"Piano - 1er Cycle","","00293 - Design sonore","","","","","","CON01063-UE2 - Recherche et culture","",""
"Piano - 2ème Cycle","","00294 - Direction artistique","","","","","","CON01063-UE3 - Professionnalisation","",""
"Piano - DIM - 3ème Cycle","","00296 - Ingénierie et exploitation","","","","","","CON01064-UE1 - Pratique artistique","",""
"Pianoforte - 1er Cycle","","00297 - Mastering","","","","","","CON01064-UE2 - Recherche et culture","",""
"Pianoforte - 2ème Cycle","","00298 - Mixage musique acoustique","","","","","","CON01064-UE3 - Professionnalisation","",""
"Pianoforte - 3ème Cycle","","00302 - Prise de son Jazz et musiques actuelles","","","","","","CON02063-UE1 - Pratique artistique","",""
"Pot commun des DCOs - 1er Cycle","","00303 - Prise de son, mixage, post production - Musiques acoustiques","","","","","","CON02063-UE2 - Recherche et culture","",""
"Quatuor à cordes - 1er Cycle","","00304 - Prise de son, mixage, post production - Musiques amplifiées","","","","","","CON02063-UE3 - Professionnalisation","",""
"Quatuor à cordes - 2ème Cycle","","00306 - Réalisation et mixage en musiques actuelles","","","","","","CON02064-UE1 - Pratique artistique","",""
"Répertoire contemporain et création chant - 3ème Cycle","","00307 - Son à l'image : spécialisation","","","","","","CON02064-UE2 - Recherche et culture","",""
"Saxhorn / Euphonium - 1er Cycle","","00308 - Son à l'image - initiation","","","","","","CON02064-UE3 - Professionnalisation","",""
"Saxhorn / Euphonium - 2ème Cycle","","00309 - Sonorisation : spécialisation","","","","","","COR01063-UE1 - Pratique artistique","",""
"Saxophone - 1er Cycle","","00311 - Mixage musiques actuelles","","","","","","COR01063-UE2 - Recherche et culture","",""
"Saxophone - 2ème Cycle","","00313 - Composition Jazz","","","","","","COR01063-UE3 - Professionnalisation","",""
"Trombone - 1er Cycle","","00315 - Médiation musicale","","","","","","COR01064-UE1 - Pratique artistique","",""
"Trombone - 2ème Cycle","","00316 - Artiste intervenant en milieu scolaire (AIMS)","","","","","","COR01064-UE2 - Recherche et culture","",""
"Trombone basse (2e discipline principale) - 2ème Cycle","","00317 - Approche répertoire classique et romantique du violon sur instrument historique (option)","","","","","","COR01064-UE3 - Professionnalisation","",""
"Trombone basse - 1er Cycle","","00318 - Modalité/tonalité","","","","","","DE-UE 2 - Recherche et culture","",""
"Trombone basse - 2ème Cycle","","00319 - Initiation à l'histoire de la danse","","","","","","DE-UE 3 - Professionnalisation","",""
"Trompette - 1er Cycle","","00320 - Prise de son, enregistrement et nouveaux médias","","","","","","DE-UE 4 - Formation pédagogique","",""
"Trompette - 2ème Cycle","","00321 - Vidéo 360, Audio 3D, nouveaux médias","","","","","","DIR00364-UE1 - Pratique artistique","",""
"Tuba - 1er Cycle","","00322 - Création, composition, production pour la musique à l'image FSMSI","","","","","","DIR00364-UE2 - Recherche et culture","",""
"Tuba - 2ème Cycle","","00323 - Musique filmée : Direction artistique et prise de son","","","","","","DIR00364-UE3 - Professionnalisation","",""
"Viole de gambe - 1er Cycle","","00324 - Musique filmée : Vidéo","","","","","","DIR01063-UE1 - Pratique artistique","",""
"Viole de gambe - 2ème Cycle","","00326 - Projets de production (Book)","","","","","","DIR01063-UE2 - Recherche et culture","",""
"Violon - 1er Cycle","","00327 - Projet de recherche","","","","","","DIR01063-UE3 - Professionnalisation","",""
"Violon - 2ème Cycle","","00328 - Séminaire de recherche-médiation : Situations de médiation","","","","","","DIR01064-UE1 - Pratique artistique","",""
"Violon baroque - 1er Cycle","","00329 - Management des organisations culturelles","","","","","","DIR01064-UE2 - Recherche et culture","",""
"Violon baroque - 2ème Cycle","","00330 - Méthodologie pratique de la recherche et de la médiation","","","","","","DIR01064-UE3 - Professionnalisation","",""
"Violoncelle - 1er Cycle","","00337 - Séminaires Notation du mouvement","","","","","","ECR01068-UE1 - Pratique artistique","",""
"Violoncelle - 2ème Cycle","","00338 - Cinétographie Laban 1er cycle -2ème année","","","","","","ECR01068-UE2 - Recherche et culture","",""
"Violoncelle baroque - 1er Cycle","","00339 - Direction de choeur, technique et répertoires","","","","","","ECR01068-UE3 - Professionnalisation","",""
"Violoncelle baroque - 2ème Cycle","","00340 - Activité d'ensemble (orchestre)","","","","","","ECR03063 UE1 S1-2 - Ecriture Benesh fondamentaux du systèmes","",""
"Écriture - Cycle Supérieur","","00344 - Approche historique et technique du violon","","","","","","ECR03063 UE1 S3-4 - Ecriture Benesh","",""
"","","00345 - Organologie : approche pluridisciplinaire de l'instrument de musique","","","","","","ECR03063 UE2 S1-2 - Dossier Ecriture 1","",""
"","","00346 - Approche historique et technique des ondes Martenot","","","","","","ECR03063 UE2 S3-4 - Dossier Ecriture 2","",""
"","","00347 - Approche historique et technique du piano","","","","","","ECR03063 UE3 S1-2 - Formation musicale appliquée à la notation","",""
"","","00348 - Parcours Pro A - Médiation (ex-APM2/Publics)","","","","","","ECR03063 UE3 S3-4 - Formation musicale appliquée à la notation","",""
"","","003481 - Parcours Pro A - Santé et prévention (ex-APM1)","","","","","","ECR03063 UE4 S1-2 - AFCMD","",""
"","","003482 - Parcours Pro A - Carrières et métiers (ex-APM2/Projet)","","","","","","ECR03063 UE4 S3-4 - AFCMD","",""
"","","00349 - Art dramatique : technique du comédien","","","","","","ECR03063 UE5 S3-4 - Ecrire une partition chorégraphique","",""
"","","00352 - DCO non fléchée parcours DE","","","","","","ECR03063 UE5 Semestres 1-2 - Culture chorégraphique, histoire des systèmes d'écritures du mouvement","",""
"","","00353 - DCO fléchée DE","","","","","","ECR03063 UE6 S3-4 - Transmettre d'après une partition","",""
"","","00356 - Didactique de la formation musicale","","","","","","ECR03063 UE6 Semestres 1-2 - Lecture et interprétation d'une oeuvre d'un solo","",""
"","","00357 - Didactique de la formation musicale - Sortie","","","","","","ECR03064-UE1 - Ecriture Benesh B2.1","",""
"","","00358 - Technique vocale A","","","","","","ECR03064-UE1 - projets professionnels B2.2","",""
"","","00359 - Initiation à la médiation","","","","","","ECR03064-UE2 - Séminaires interdisciplinaires : analyse de partitions et contextualisation de projet B2.1","",""
"","","00362 - Arrangement","","","","","","ECR03064-UE2 S3-4 - Accompagnement individuel","",""
"","","00363 - Piano complémentaire","","","","","","ECR03064-UE3 - projet video B2.1","",""
"","","00364 - Initiation au trombone basse","","","","","","ECR03064-UE3 S3-4 - Méthodologie de la recherche Benesh 2ème cycle 2ème année","",""
"","","AB908 - Poursuite de cursus (Pédagogie)","","","","","","ECR03064-UE4 - Notation à vue et partition de travail B2.1","",""
"","","AC006 - Accompagnement au piano","","","","","","ECR03064-UE5 - Parcours B2.1","",""
"","","AC009 - Accompagnement chorégraphique","","","","","","ECR03064-UE6 - Méthodologie de la recherche Benesh 2","",""
"","","AC012 - Accompagnement vocal, lied et oratorio, 2e cycle supérieur","","","","","","ECR03064-UE7 - Accompagnement individuel B2","",""
"","","AC013 - Accordéon","","","","","","ECR03064-UE8 - Bilan et perspective B2.1","",""
"","","AC015 - Accords, tempéraments et réglage","","","","","","ECR04063 UE1 S1-2 - Cinétographie","",""
"","","AC018 - Accords et tempéraments (Initiation)","","","","","","ECR04063 UE1 S3-4 - Cinétographie","",""
"","","AC030 - Initiation à l'accompagnement chorégraphique","","","","","","ECR04063 UE2 S1-2 - Etudes Labanniennes","",""
"","","AC161 - Accordéon Jazz","","","","","","ECR04063 UE2 S3-4 - Analyse Labannienne du mouvement","",""
"","","ACCMEMOIRE - Accompagnement à la rédaction du mémoire","","","","","","ECR04063 UE3 S1-2 - Formation musicale appliquée à la notation","",""
"","","AD036 - Adage","","","","","","ECR04063 UE3 S3-4 - Formation musicale appliquée à la notation","",""
"","","ADM001 - Administration / droit du travail","","","","","","ECR04063 UE4 S1-2 - dossier écriture : établissement d'une partition d'un solo","",""
