"Cursus","","Discipline","","Type de discipline","","Sous-type","","UE","","Année par défaut dans le cursus"
"","","BEN026 - Ecriture Benesh : De l'alphabet au langage du mouvement","","","","","","FLU02064-UE3 - Professionnalisation","",""
"","","CH123 - Chant","","","","","","FO318-UE1 - Pratique artistique","",""
"","","CH126 - Technique vocale B","","","","","","FO318-UE2 - Recherche et culture","",""
"","","Ch161 - Chant Jazz","","","","","","FO318-UE3 - Professionnalisation","",""
"","","CI135 - Cimbasso","","","","","","FSMS-UE1 - UE1 - Enseignements musicaux","",""
"","","cjazz1 - Culture du jazz appliquée J1","","","","","","FSMS-UE2 - UE2 - Enseignements scientifiques","",""
"","","cjazz2 - Culture du jazz appliquée J2","","","","","","FSMS-UE3 - UE3 - Enseignements techniques","",""
"","","cjazz3 - Culture du jazz appliquée J3","","","","","","FSMS-UE4 - UE4 - Enseignements pratiques","",""
"","","CL099 - Clavecin (initiation)","","","","","","FSMS-UE5 - UE5 - Enseignements complémentaires","",""
"","","CL138 - Clarinette","","","","","","FSMS-UE6 - UE6 - Production et recherche","",""
"","","CL140 - Clarinette basse","","","","","","FSMS-UE7 - UE7 - Enseignements pratiques","",""
"","","CL141 - Initiation à la clarinette basse","","","","","","FSMS-UE8 - UE8 - Enseignements de spécialisation","",""
"","","CL147 - Clarinette historique","","","","","","FSMS-UE9 - UE9 - Professionnalisation","",""
"","","CL150 - Clavecin - Basse Continue","","","","","","GUI01063-UE1 - Pratique artistique","",""
"","","CL151 - Clarinette historique (initiation)","","","","","","GUI01063-UE2 - Recherche et culture","",""
"","","CO156 - Composition","","","","","","GUI01063-UE3 - Professionnalisation","",""
"","","CO157 - Cursus IRCAM","","","","","","GUI01064-UE1 - Pratique artistique","",""
"","","CO165 - Contrebasse","","","","","","GUI01064-UE2 - Recherche et culture","",""
"","","CO166 - Contrebasse Jazz","","","","","","GUI01064-UE3 - Professionnalisation","",""
"","","CO168 - Contrebasse historique et violone","","","","","","HAR02063-UE1 - Pratique artistique","",""
"","","CO171 - Contrepoint","","","","","","HAR02063-UE2 - Recherche et culture","",""
"","","CO174 - Cor","","","","","","HAR02063-UE3 - Professionnalisation","",""
"","","CO180 - Cor ancien (Initiation)","","","","","","HAR02064-UE1 - Pratique artistique","",""
"","","CO181 - Contrebasse historique et violone (initiation)","","","","","","HAR02064-UE2 - Recherche et culture","",""
"","","CREAQUAT - Création en quatuor","","","","","","HAR02064-UE3 - Professionnalisation","",""
"","","CSFM - Cycle supérieur de formation musicale","","","","","","HAU01063-UE1 - Pratique artistique","",""
"","","CSFM02 - Formation musicale supérieure","","","","","","HAU01063-UE2 - Recherche et culture","",""
"","","Cumusap1 - Culture musicale appliquée C1","","","","","","HAU01063-UE3 - Professionnalisation","",""
"","","Cumusap2 - Culture musicale appliquée C2","","","","","","HAU01064-UE1 - Pratique artistique","",""
"","","Cumusap3 - Culture musicale appliquée C3","","","","","","HAU01064-UE2 - Recherche et culture","",""
"","","DA1 - Danse chanteurs·euses","","","","","","HAU01064-UE3 - Professionnalisation","",""
"","","DA186 - Danse baroque","","","","","","HAU02063-UE1 - Pratique artistique","",""
"","","DA189 - Danse baroque (Initiation)","","","","","","HAU02063-UE2 - Recherche et culture","",""
"","","DA192 - Danse classique - DCI","","","","","","HAU02063-UE3 - Professionnalisation","",""
"","","DA195 - Danse classique femme","","","","","","HAU02064-UE1 - Pratique artistique","",""
"","","DA198 - Danse classique homme","","","","","","HAU02064-UE2 - Recherche et culture","",""
"","","DA204 - Danse contact / improvisation","","","","","","HAU02064-UE3 - Professionnalisation","",""
"","","DA207 - Danse contemporaine","","","","","","IMP00063-UE1 - Pratique artistique","",""
"","","DA208 - Danse contemporaine - DCI","","","","","","IMP00063-UE2 - Recherche et culture","",""
"","","DA210 - Danse de caractère","","","","","","IMP00063-UE3 - Professionnalisation","",""
"","","DA212 - Danse jazz","","","","","","IMP00064-UE1 - Pratique artistique","",""
"","","Dacc1 - Didactique de l'accordéon D1","","","","","","IMP00064-UE2 - Recherche et culture","",""
"","","Dacc2 - Didactique de l'accordéon D2","","","","","","IMP00064-UE3 - Professionnalisation","",""
"","","Dacc3 - Didactique de l'accordéon D3","","","","","","IMP00065-UE1 - Pratique artistique","",""
"","","Dalto1 - Didactique de l'alto D1","","","","","","IMP00065-UE2 - Recherche et culture","",""
"","","Dalto2 - Didactique de l'alto D2","","","","","","IMP00065-UE3 - Professionnalisation","",""
"","","Dalto3 - Didactique de l'alto D3","","","","","","IMP00066-UE1 - Pratique artistique","",""
"","","Dbasson - Didactique du basson D1","","","","","","IMP00066-UE2 - Recherche et culture","",""
"","","Dbasson2 - Didactique du basson D2","","","","","","IMP00066-UE3 - Professionnalisation","",""
"","","Dbasson3 - Didactique du basson D3","","","","","","IMP02063-UE1 - Pratique artistique","",""
"","","DCECMASTER - Disciplines complémentaires ECMAster","","","","","","JAZ01063-UE1 - Pratique artistique","",""
"","","Dcello1 - Didactique du violoncelle D1","","","","","","JAZ01063-UE2 - Recherche et culture","",""
"","","Dcello2 - Didactique du violoncelle D2","","","","","","JAZ01063-UE3 - Professionnalisation","",""
"","","Dcello3 - Didactique du violoncelle D3","","","","","","JAZ01064-UE1 - Pratique artistique","",""
"","","Dchant1 - Didactique du chant D1","","","","","","JAZ01064-UE2 - Recherche et culture","",""
"","","Dchant2 - Didactique du chant D2","","","","","","JAZ01064-UE3 - Professionnalisation","",""
"","","Dchant3 - Didactique du chant D3","","","","","","MUS01068-UE1 - Pratique artistique","",""
"","","Dclar1 - Didactique de la clarinette D1","","","","","","MUS01068-UE2 - Recherche et culture","",""
"","","Dclar2 - Didactique de la clarinette D2","","","","","","MUS01068-UE3 - Professionnalisation","",""
"","","Dclar3 - Didactique de la clarinette D3","","","","","","MUS02064-UE1 - Pratique artistique","",""
"","","Dclav1 - Didactique du clavecin D1","","","","","","MUS02064-UE2 - Recherche et culture","",""
"","","Dclav2 - Didactique du clavecin D2","","","","","","MUS02064-UE3 - Professionnalisation","",""
"","","Dclav3 - Didactique du clavecin D3","","","","","","OND01063-UE1 - Pratique artistique","",""
"","","DCO_EE - Engagement étudiant","","","","","","OND01063-UE2 - Recherche et culture","",""
"","","Dcontr1 - Didactique de la contrebasse D1","","","","","","OND01063-UE3 - Professionnalisation","",""
"","","Dcontr2 - Didactique de la contrebasse D2","","","","","","OND01064-UE1 - Pratique artistique","",""
"","","Dcontr3 - Didactique de la contrebasse D3","","","","","","OND01064-UE2 - Recherche et culture","",""
"","","Dcor1 - Didactique du cor D1","","","","","","OND01064-UE3 - Professionnalisation","",""
"","","Dcor2 - Didactique du cor D2","","","","","","ORG02063-UE1 - Pratique artistique","",""
"","","Dcor3 - Didactique du cor D3","","","","","","ORG02063-UE2 - Recherche et culture","",""
"","","DF1 - Diction lyrique française chanteurs·euses","","","","","","ORG02063-UE3 - Professionnalisation","",""
"","","Dflut1 - Didactique de la flûte D1","","","","","","ORG02064-UE1 - Pratique artistique","",""
"","","Dflut2 - Didactique de la flûte D2","","","","","","ORG02064-UE2 - Recherche et culture","",""
"","","Dflut3 - Didactique de la flûte D3","","","","","","ORG02064-UE3 - Professionnalisation","",""
"","","Dfm1 - Méthodologie de la formation musicale D1","","","","","","PER01063-UE1 - Pratique artistique","",""
"","","Dfm2 - Méthodologie de la formation musicale D2","","","","","","PER01063-UE2 - Recherche et culture","",""
"","","Dfm3 - Méthodologie de la formation musicale D3","","","","","","PER01063-UE3 - Professionnalisation","",""
"","","Dguitare1 - Didactique de la guitare D1","","","","","","PER01064-UE1 - Pratique artistique","",""
"","","Dguitare2 - Didactique de la guitare D2","","","","","","PER01064-UE2 - Recherche et culture","",""
"","","Dguitare3 - Didactique de la guitare D3","","","","","","PER01064-UE3 - Professionnalisation","",""
"","","Dhrp1 - Didactique de la harpe D1","","","","","","PIA01063-UE1 - Pratique artistique","",""
"","","Dhrp2 - Didactique de la harpe D2","","","","","","PIA01063-UE2 - Recherche et culture","",""
"","","Dhrp3 - Didactique de la harpe D3","","","","","","PIA01063-UE3 - Professionnalisation","",""
"","","Dhtbois1 - Didactique du hautbois D1","","","","","","PIA01064-UE1 - Pratique artistique","",""
"","","Dhtbois2 - Didactique du hautbois D2","","","","","","PIA01064-UE2 - Recherche et culture","",""
"","","Dhtbois3 - Didactique du hautbois D3","","","","","","PIA01064-UE3 - Professionnalisation","",""
"","","DI201 - Projets artistiques","","","","","","PIA02063-UE1 - Pratique artistique","",""
"","","DI214 - Diction lyrique Italienne accompagnateurs·rices","","","","","","PIA02063-UE2 - Recherche et culture","",""
"","","DI216 - Diction lyrique allemande chanteurs·euses (DNSPM 1 et 2)","","","","","","PIA02063-UE3 - Professionnalisation","",""
"","","DI217 - Diction lyrique allemande chanteurs·euses (DNSPM 3)","","","","","","PIA02064-UE1 - Pratique artistique","",""
"","","DI218 - Diction lyrique allemande chanteurs.euses (Master 1 et 2)","","","","","","PIA02064-UE2 - Recherche et culture","",""
"","","DI219 - Diction lyrique anglaise chanteurs·euses","","","","","","PIA02064-UE3 - Professionnalisation","",""
"","","DI225 - Diction lyrique allemande accompagnateurs·rices","","","","","","QUA01063-UE1 - Pratique artistique - Pratique artistique","",""
"","","DI227 - Diction lyrique anglaise accompagnateurs·rices","","","","","","QUA01063-UE2 - Recherche et culture - Recherche et culture","",""
"","","DI228 - Diction lyrique italienne chanteurs·euses (DNSPM 1 et 2)","","","","","","QUA01063-UE3 - Professionnalisation - Professionnalisation","",""
"","","DI229 - Diction lyrique italienne chanteurs·euses (DNSPM 3)","","","","","","QUA01064-UE1 - Pratique artistique","",""
"","","DI230 - Diction lyrique russe","","","","","","QUA01064-UE2 - Recherche et culture","",""
"","","DI234 - Direction d'orchestre","","","","","","QUA01064-UE3 - Professionnalisation","",""
"","","DI235 - Direction de choeur (initiation)","","","","","","SAX01063-UE1 - Pratique artistique","",""
"","","DI236 - Initiation à la direction d'ensembles pour les compositeur·trices","","","","","","SAX01063-UE2 - Recherche et culture","",""
"","","DI237 - Initiation à la direction d'orchestre A et B","","","","","","SAX01063-UE3 - Professionnalisation","",""
"","","DI238 - Direction de chant","","","","","","SAX01064-UE1 - Pratique artistique","",""
"","","DI240 - Chant grégorien","","","","","","SAX01064-UE2 - Recherche et culture","",""
"","","DI330 - Diction lyrique italienne chanteurs·euses (Master 1 et 2)","","","","","","SAX01064-UE3 - Professionnalisation","",""
"","","Djazz1 - Didactique du jazz D1","","","","","","SAX02063-UE1 - Pratique artistique","",""
"","","Djazz2 - Didactique du jazz D2","","","","","","SAX02063-UE2 - Recherche et culture","",""
"","","Djazz3 - Didactique du jazz D3","","","","","","SAX02063-UE3 - Professionnalisation","",""
"","","Dorgue1 - Didactique de l'orgue D1","","","","","","SAX02064-UE1 - Pratique artistique","",""
"","","Dorgue2 - Didactique de l'orgue D2","","","","","","SAX02064-UE2 - Recherche et culture","",""
"","","Dorgue3 - Didactique de l'orgue D3","","","","","","SAX02064-UE3 - Professionnalisation","",""
"","","Dpercu1 - Didactique des percussions D1","","","","","","TRO01063-UE1 - Pratique artistique","",""
"","","Dpercu2 - Didactique des percussions D2","","","","","","TRO01063-UE2 - Recherche et culture","",""
"","","Dpercu3 - Didactique des percussions D3","","","","","","TRO01063-UE3 - Professionnalisation","",""
"","","Dpiano1 - Didactique du piano D1","","","","","","TRO01064-UE1 - Pratique artistique","",""
"","","Dpiano2 - Didactique du piano D2","","","","","","TRO01064-UE2 - Recherche et culture","",""
"","","Dpiano3 - Didactique du piano D3","","","","","","TRO01064-UE3 - Professionnalisation","",""
"","","drama - Dramaturgie appliquée","","","","","","TRO02063-UE1 - Pratique artistique","",""
"","","dsax1 - Didactique du saxophone D1","","","","","","TRO02063-UE2 - Recherche et culture","",""
"","","Dsax2 - Didactique du saxophone D2","","","","","","TRO02063-UE3 - Professionnalisation","",""
"","","Dsax3 - Didactique du saxophone D3","","","","","","TRO02064-UE1 - Pratique artistique","",""
"","","Dtromb1 - Didactique du trombone D1","","","","","","TRO02064-UE2 - Recherche et culture","",""
"","","Dtromb2 - Didactique du trombone D2","","","","","","TRO02064-UE3 - Professionnalisation","",""
"","","Dtromb3 - Didactique du trombone D3","","","","","","TRO03063-UE1 - Pratique artistique","",""
"","","Dtromp1 - Didactique de la trompette D1","","","","","","TRO03063-UE2 - Recherche et culture","",""
"","","Dtromp2 - Didactique de la trompette D2","","","","","","TRO03063-UE3 - Professionnalisation","",""
"","","Dtrp3 - Didactique de la trompette D3","","","","","","TRO03064-UE1 - Pratique artistique","",""
"","","Dtuba1 - Didactique du Tuba D1","","","","","","TRO03064-UE2 - Recherche et culture","",""
"","","Dtuba2 - Didactique du tuba D2","","","","","","TRO03064-UE3 - Professionnalisation","",""
"","","Dtuba3 - Didactique du tuba D3","","","","","","TUB01063-UE1 - Pratique artistique","",""
"","","Dviolgambe1 - Didactique de la viole de gambe D1","","","","","","TUB01063-UE2 - Recherche et culture","",""
"","","Dviolgambe2 - Didactique de la viole de gambe D2","","","","","","TUB01063-UE3 - Professionnalisation","",""
"","","Dviolgambe3 - Didactique de la viole de gambe D3","","","","","","TUB01064-UE1 - Pratique artistique","",""
"","","Dviolon1 - Didactique du violon D1","","","","","","TUB01064-UE2 - Recherche et culture","",""
"","","Dviolon2 - Didactique du violon D2","","","","","","TUB01064-UE3 - Professionnalisation","",""
"","","Dviolon3 - Didactique du violon D3","","","","","","VIO01063-UE1 - Pratique artistique","",""
"","","EC246 - Écoute critique","","","","","","VIO01063-UE2 - Recherche et culture","",""
"","","EC249 - Initiation à l'écriture A","","","","","","VIO01063-UE3 - Professionnalisation","",""
"","","EC252 - Initiation à l'écriture B","","","","","","VIO01064-UE1 - Pratique artistique","",""
"","","EC253 - Ecriture et improvisation expérimentales","","","","","","VIO01064-UE2 - Recherche et culture","",""
"","","EC256 - Ecriture XXe et XXIe siècles","","","","","","VIO01064-UE3 - Professionnalisation","",""
"","","EC258 - Ecriture Benesh : analyse de situations complexes/ Approfondissements et applications contextualisées - 1er cycle 2e année","","","","","","VIO02063-UE1 - Pratique artistique","",""
"","","EC261 - Notation du mouvement Laban","","","","","","VIO02063-UE2 - Recherche et culture","",""
"","","EN267 - Ensembles vocaux A","","","","","","VIO02063-UE3 - Professionnalisation","",""
"","","EN270 - Ensembles vocaux B","","","","","","VIO02064-UE1 - Pratique artistique","",""
"","","ERD001 - Entrainement régulier de l'artiste chorégraphique","","","","","","VIO02064-UE2 - Recherche et culture","",""
"","","ES276 - Esthétique","","","","","","VIO02064-UE3 - Professionnalisation","",""
"","","ESTHEA - Esthétique A","","","","","","VIO03063-UE1 - Pratique artistique","",""
"","","ESTHEB - Esthétique B","","","","","","VIO03063-UE2 - Recherche et culture","",""
"","","ET279 - Ethnomusicologie","","","","","","VIO03063-UE3 - Professionnalisation","",""
"","","ET282 - Etude de rôles","","","","","","VIO03064-UE1 - Pratique artistique","",""
"","","ET288 - Etude des traités & ornement. (Initiation)","","","","","","VIO03064-UE2 - Recherche et culture","",""
"","","FA291 - Basson allemand","","","","","","VIO03064-UE3 - Professionnalisation","",""
"","","FL161 - Flûte Jazz","","","","","","VIO04063-UE1 - Pratique artistique","",""
"","","FL294 - Flûte","","","","","","VIO04063-UE2 - Recherche et culture","",""
"","","FL297 - Flûte piccolo (option)","","","","","","VIO04063-UE3 - Professionnalisation","",""
"","","FL298 - Flûte piccolo","","","","","","VIO04064-UE1 - Pratique artistique","",""
"","","FL300 - Flûte traversière baroque","","","","","","VIO04064-UE2 - Recherche et culture","",""
"","","FL303 - Flûte traversière baroque (Initiation)","","","","","","VIO04064-UE3 - Professionnalisation","",""
"","","FO305 - Formation des directeurs","","","","","","VIO05063-UE1 - Pratique artistique","",""
"","","FO312 - Formation musicale instrumentistes A - module oreille","","","","","","VIO05063-UE2 - Recherche et culture","",""
"","","FO312B - Formation musicale instrumentistes B - module rythme","","","","","","VIO05063-UE3 - Professionnalisation","",""
"","","FO312C - Formation musicale instrumentistes C - module chant","","","","","","VIO05064-UE1 - Pratique artistique","",""
"","","FO315 - Formation musicale FSMSI","","","","","","VIO05064-UE2 - Recherche et culture","",""
"","","FO318 - Formation supérieure aux métiers du son","","","","","","VIO05064-UE3 - Professionnalisation","",""
"","","FR321 - Français Langue Etrangère","","","","","","","",""
"","","FSMI-UE1-D3 - Narration audiovisuelle : scénographie, scénarisation, découpage","","","","","","","",""
"","","FSMI-UE1-D7 - Analyse filmique et esthétique des représentations musicales","","","","","","","",""
"","","FSMI-UE2-D1 - Mathématiques, traitement du signal vidéo","","","","","","","",""
"","","FSMI-UE2-D2 - Optique, couleur et lumière","","","","","","","",""
"","","FSMI-UE2-D3 - Vision : perception des images et de la couleur (l’œil et la vision), approche cognitive","","","","","","","",""
"","","FSMI-UE3-D1 - Technologies audio, technologies vidéo et lumière","","","","","","","",""
"","","FSMI-UE3-D2 - Ingénierie - Exploitation - Machinerie vidéo, post-production","","","","","","","",""
"","","FSMI-UE3-D3 - Prise de son, captation vidéo : nouveaux médias","","","","","","","",""
"","","FSMI-UE4-D1 - Prise de vue, éclairage, post-production","","","","","","","",""
"","","FSMI-UE4-D2 - Logiciels de montage, FX, motion design","","","","","","","",""
"","","FSMI-UE7-D1 - Réalisation / captation (direct live)","","","","","","","",""
"","","FSMI-UE7-D2 - Réalisation / écriture et narration (clip, EPK, court métrage, documentaire)","","","","","","","",""
"","","FSMI-UE7-D3 - Montage image","","","","","","","",""
"","","FSMI-UE8-D1 - Conseiller musical, scripte","","","","","","","",""
"","","FSMI-UE8-D2 - Réalisation clip musical et courte fiction à caractère musical","","","","","","","",""
"","","FSMI-UE8-D3 - Vidéo, projection et création","","","","","","","",""
"","","FU324 - Fugue et formes","","","","","","","",""
"","","GA327 - Gamelan","","","","","","","",""
"","","GR330 - Grand orchestre/Big band","","","","","","","",""
"","","GU333 - Guitare","","","","","","","",""
"","","GU334 - Guitare Jazz","","","","","","","",""
"","","HA336 - Harmonie","","","","","","","",""
"","","HA339 - Harmonie FSMSI","","","","","","","",""
"","","HA342 - Harmonisation au clavier A","","","","","","","",""
"","","HA345 - Harmonisation au clavier B","","","","","","","",""
"","","HA348 - Harpe","","","","","","","",""
"","","HA354 - Hautbois / Cor anglais","","","","","","","",""
"","","HA357 - Hautbois baroque","","","","","","","",""
"","","HA358 - Hautbois baroque (Initiation)","","","","","","","",""
"","","HI361 - Histoire de l'art","","","","","","","",""
"","","HI366 - Histoire de la musique","","","","","","","",""
"","","HI375 - Histoire du Jazz","","","","","","","",""
"","","IM101 - Initiation à la médiation","","","","","","","",""
"","","IM384 - Improvisation à l'orgue (DCI)","","","","","","","",""
"","","IM385 - Improvisation à l'orgue","","","","","","","",""
"","","IM386 - Improvisation au piano","","","","","","","",""
"","","IM390 - Improvisation générative","","","","","","","",""
"","","IM393 - Improvisation générative (Initiation)","","","","","","","",""
"","","IM405 - Musique de l'Inde et Improvisation modale","","","","","","","",""
"","","IMO - Improvisation au piano (initiation)","","","","","","","",""
"","","IMPGEN3C - Initiation à l’improvisation générative (3e cycle)","","","","","","","",""
"","","IN407 - Informatique musicale - initiation","","","","","","","",""
"","","INST3C - Instrument (3e cycle)","","","","","","","",""
"","","INTCREA - Interfaces et création","","","","","","","",""
"","","JA414 - Jazz (Initiation)","","","","","","","",""
"","","JA415 - Cuivres Jazz","","","","","","","",""
"","","JA416 - Masterclass / Interventions / Répétitions Jazz","","","","","","","",""
"","","JA417 - Batterie complémentaire","","","","","","","",""
"","","JA418 - Ear training","","","","","","","",""
"","","JA419 - Clarinette Jazz","","","","","","","",""
"","","JA420 - Oralité cognitive","","","","","","","",""
"","","LE432 - Lecture à vue (musique ancienne)","","","","","","","",""
"","","LE433 - Lecture à vue accordéon","","","","","","","",""
"","","LE434 - Lecture à vue cuivres","","","","","","","",""
"","","LE456 - Lecture à vue guitare","","","","","","","",""
"","","LE465 - Lecture à vue ondes Martenot","","","","","","","",""
"","","LE500 - Lecture à vue bois","","","","","","","",""
"","","LE502 - Lecture à vue cordes A","","","","","","","",""
"","","LE503 - Lecture à vue cordes B","","","","","","","",""
"","","LE505 - Lecture à vue piano A","","","","","","","",""
"","","LE506 - Lecture à vue piano B","","","","","","","",""
"","","LE507 - Lecture à vue percussion","","","","","","","",""
"","","LE509 - Lecture à vue harpe A","","","","","","","",""
"","","LE510 - Lecture à vue harpe B","","","","","","","",""
"","","LI501 - Atelier de la spectatrice et du spectateur : scènes et textes","","","","","","","",""
"","","LU507 - luths, théorbe et basse continue","","","","","","","",""
"","","LU510 - Luth et théorbe (Initiation)","","","","","","","",""
"","","MCA - Mémoire de CA","","","","","","","",""
"","","MCCA - Musique de chambre complémentaire A","","","","","","","",""
"","","MCCB - Musique de chambre complémentaire B","","","","","","","",""
"","","MCCC - Musique de chambre complémentaire C","","","","","","","",""
"","","MCCD - Musique de chambre complémentaire D","","","","","","","",""
"","","MDC3C - Musique de chambre (3e cycle)","","","","","","","",""
"","","MEDCREA - Médiation des répertoires contemporains et de la création","","","","","","","",""
"","","MEDQUAT - Médiation","","","","","","","",""
"","","MEM001 - Projet médiation","","","","","","","",""
"","","MFM1 - Méthodologie de la formation musicale D1","","","","","","","",""
"","","MU534 - Musique de chambre (chanteurs·euses)","","","","","","","",""
"","","MU537 - Musique de chambre (Musique ancienne)","","","","","","","",""
"","","MU538 - Musique de chambre-2e discipline principale (DMA)","","","","","","","",""
"","","MU540 - Musique de chambre","","","","","","","",""
"","","N0001 - Culture chorégraphique, histoire des systèmes d'écriture du mouvement","","","","","","","",""
"","","NB002 - Notation du mouvement Benesh 2ème cycle","","","","","","","",""
"","","NB003 - Ecriture Benesh : Fondamentaux du système / De l'alphabet au langage du mouvement-  1er cycle 1re année","","","","","","","",""
"","","NB004 - Histoire des systèmes d'écriture du mouvement","","","","","","","",""
"","","NB005 - Formation musicale Benesh 1er cycle 1ère année","","","","","","","",""
"","","NB006 - Dossier écriture 1 Benesh 1er cycle 1ère année","","","","","","","",""
"","","NB007 - Dossier écriture 2 Benesh 1er cycle 2ème année","","","","","","","",""
"","","NB008 - Analyse de partitions Benesh 1er cycle 2ème année","","","","","","","",""
"","","NB009 - Applications et outils pédagogiques Benesh 1er cycle 2ème année","","","","","","","",""
"","","NB010 - Ecrire une partition chorégraphique Benesh 1er cycle 2ème année","","","","","","","",""
"","","NB011 - Transmettre d'après une partition Benesh 1er cycle 2ème année","","","","","","","",""
"","","NB012 - Ecriture Benesh 2ème cycle 1ère année","","","","","","","",""
"","","NB013 - Séminaires interdisciplinaires Benesh 2è cycle 1ère année","","","","","","","",""
"","","NB014 - Projet vidéo Benesh 2è cycle 1ère année","","","","","","","",""
"","","NB015 - Notation à vue et partition de travail Benesh 2è cycle","","","","","","","",""
"","","NB016 - parcours 1 à 4 Benesh 2è cycle 1ère année","","","","","","","",""
"","","NB017 - méthodologie de la recherche Benesh 2è cycle 1ère année","","","","","","","",""
"","","NB018 - Accompagnement individuel Benesh 2è cycle 1ère année","","","","","","","",""
"","","NB019 - Bilan et perspectives Benesh 2è cycle 1ère année","","","","","","","",""
"","","NB020 - Projets professionnels Benesh 2è cycle 2ème année","","","","","","","",""
"","","NB026 - Ecriture Benesh : De l'alphabet au langage du mouvement","","","","","","","",""
"","","NB027 - Ecriture Benesh : Approfondissements et applications contextualisées","","","","","","","",""
"","","NB029 - Lecture et interprétation d'un extrait d'oeuvre solo","","","","","","","",""
"","","NB030 - Formation musicale appliquée à la notation du mouvement Benesh 1er cycle 2ème année","","","","","","","",""
"","","NB031 - AFCMD benesh 1er cycle 2ème année","","","","","","","",""
"","","NB032 - Notation à vue et partition de travail","","","","","","","",""
"","","NB033 - Accompagnement individuel Benesh 2è cycle 2ème année année","","","","","","","",""
"","","NB034 - Methodologie de la recherche Benesh 2ème cycle 2ème année","","","","","","","",""
"","","NEXT3C - Ensemble NEXT","","","","","","","",""
"","","NL003 - Etudes labanienne du mouvement 1er cycle 1re année","","","","","","","",""
"","","NL004 - Formation musicale Laban 1er cycle 1ère année","","","","","","","",""
"","","NL005 - Dossier d'écriture : Etablissement d'une partition Laban 1er cycle 1ère année","","","","","","","",""
"","","NL006 - Analyse labanienne du mouvement 1er cycle 2e année","","","","","","","",""
"","","NL007 - Lecture et interprétation d'une oeuvre solo d'après partition  Laban 1er cycle 1ère année","","","","","","","",""
"","","NL008 - Cinétographie Laban 2è cycle 1ère année","","","","","","","",""
"","","NL009 - Séminaire transmission Laban 2è cycle 1ère année","","","","","","","",""
"","","NL010 - Séminaire enseignement Laban 2è cycle 1ère année","","","","","","","",""
"","","NL011 - Projet personnel majeur Laban 2è cycle 2ème année","","","","","","","",""
"","","NL012 - Projet personnel mineur Laban 2è cycle 2ème année","","","","","","","",""
"","","NL013 - Méthodologie de la recherche Laban 2è cycle 2ème année","","","","","","","",""
"","","NL014 - Formation musicale Laban 1er cycle 2ème année","","","","","","","",""
"","","NL015 - Dossier écriture établissement d'une partition d'un duo ou d'un groupe- Laban 1er cycle 2ème année","","","","","","","",""
"","","NL016 - Lecture et transmission d'une oeuvre d'après partition Laban 1er cycle 2ème année","","","","","","","",""
"","","NL338 - Cinétographie Laban 1er cycle -1ère année","","","","","","","",""
"","","NOT001 - Cours - Notation du mouvement","","","","","","","",""
"","","ON552 - Ondes Martenot","","","","","","","",""
"","","ON553 - Initiation aux ondes Martenot","","","","","","","",""
"","","OR555 - Orchestration Sup.","","","","","","","",""
"","","OR558 - Initiation à l'orchestration","","","","","","","",""
"","","OR561 - Orchestration FSMSI","","","","","","","",""
"","","OR573 - Orgue-interprétation","","","","","","","",""
"","","PA001 - Projets artistiques","","","","","","","",""
"","","PAR001 - Partnering","","","","","","","",""
"","","PE582 - Percussion","","","","","","","",""
"","","PE612 - Pédagogie Alto","","","","","","","",""
"","","PE615 - Pédagogie Basson","","","","","","","",""
"","","PE618 - Pédagogie Bois","","","","","","","",""
"","","PE621 - Pédagogie Chant","","","","","","","",""
"","","PE624 - Pédagogie Clarinette","","","","","","","",""
"","","PE626 - Pédagogie Clavecin","","","","","","","",""
"","","PE627 - Pédagogie Contrebasse","","","","","","","",""
"","","PE630 - Pédagogie Cor","","","","","","","",""
"","","PE633 - Pédagogie Cuivres","","","","","","","",""
"","","PE636 - Pédagogie Flûtes","","","","","","","",""
"","","PE637 - Pédagogie Guitare","","","","","","","",""
"","","PE638 - Pédagogie Harpe","","","","","","","",""
"","","PE639 - Pédagogie Hautbois","","","","","","","",""
"","","PE640 - Pédagogie Orgue","","","","","","","",""
"","","PE641 - Pédagogie Percussion","","","","","","","",""
"","","PE642 - Pédagogie Piano","","","","","","","",""
"","","PE645 - Pédagogie Saxophones","","","","","","","",""
"","","PE648 - Pédagogie Trombone","","","","","","","",""
"","","PE651 - Pédagogie Trompette","","","","","","","",""
"","","PE652 - Pédagogie Tuba-Saxhorn","","","","","","","",""
"","","PE654 - Pédagogie Violon","","","","","","","",""
"","","PE657 - Pédagogie Violoncelle","","","","","","","",""
"","","PHI - Pratique historiquement informée","","","","","","","",""
"","","PI585 - Piano","","","","","","","",""
"","","PI588 - Piano chanteurs·euses","","","","","","","",""
"","","PI590 - Piano Jazz","","","","","","","",""
"","","PI591 - Piano complémentaire (Écriture)","","","","","","","",""
"","","PI592 - Piano complémentaire Jazz","","","","","","","",""
"","","PI597 - Pianoforte","","","","","","","",""
"","","PI600 - Pianoforte (Initiation)","","","","","","","",""
"","","PMD001 - Réalisation d'un mémoire de recherche en lien avec des enjeux chorégraphiques","","","","","","","",""
"","","PO604 - Polyphonie XVème - XVIIème siècles","","","","","","","",""
"","","PP002 - Projet personnel danse","","","","","","","",""
"","","PPCA - Projet pédagogique","","","","","","","",""
"","","PPD001 - Préparation physique danseurs","","","","","","","",""
"","","PPR - Participation à un projet de recherche","","","","","","","",""
